id,GRE_Score_v,TOEFL_Score_v,University_Rating_v,SOP_v,LOR_v,CGPA_v,Research_v,GRE_Score_a,TOEFL_Score_a,University_Rating_a,SOP_a,LOR_a,CGPA_a,Research_a,y
0,337,118,4,4.5,4.5,9.65,1,0.11,0.171,0.031,0.01,0.029,0.337,0.043,0.996
1,324,107,4,4,4.5,8.87,1,0.048,-0.031,0.042,0.009,0.054,0.075,0.059,0.521
2,316,104,3,3,3.5,8,1,-0.024,-0.066,-0.009,-0.003,-0.008,-0.153,0.01,0.01
3,322,110,3,3.5,2.5,8.67,1,0.01,0.004,-0.014,0.001,-0.054,-0.041,0.038,0.208
4,314,103,2,2,3,8.21,0,-0.026,-0.06,-0.023,-0.006,-0.015,-0.096,-0.035,0.002
5,330,115,5,4.5,3,9.34,1,0.093,0.163,0.073,0.013,-0.013,0.305,0.064,0.963
6,321,109,3,3,4,8.2,1,-0.005,-0.02,-0.011,-0.004,0.007,-0.17,0.022,0.082
7,308,101,2,3,4,7.9,0,-0.034,-0.068,-0.021,-0.003,0,-0.11,-0.028,0.001
8,302,102,1,2,1.5,8,0,-0.041,-0.052,-0.029,-0.005,-0.028,-0.084,-0.024,0
9,323,108,3,3.5,3,8.6,0,0,-0.038,-0.013,-0.001,-0.026,-0.07,-0.06,0.057
10,325,106,3,3.5,4,8.4,1,0.018,-0.07,-0.013,0,0.008,-0.121,0.025,0.11
11,327,111,4,4,4.5,9,1,0.091,0.097,0.049,0.011,0.056,0.174,0.072,0.813
12,328,112,4,4,4.5,9.1,1,0.097,0.122,0.047,0.01,0.054,0.22,0.071,0.884
13,307,109,3,4,3,8,1,-0.052,-0.017,-0.013,0.002,-0.018,-0.163,0.011,0.013
14,311,104,3,3.5,2,8.2,1,-0.042,-0.063,-0.011,-0.001,-0.036,-0.112,0.009,0.007
15,314,105,3,3.5,2.5,8.3,0,-0.03,-0.051,-0.014,-0.001,-0.029,-0.095,-0.037,0.006
16,317,107,3,4,3,8.7,0,-0.03,-0.052,-0.012,0.003,-0.025,-0.05,-0.054,0.045
17,319,106,3,4,3,8,1,-0.015,-0.045,-0.013,0.002,-0.018,-0.17,0.012,0.017
18,318,110,3,4,3,8.8,0,-0.021,-0.003,-0.014,0.005,-0.028,-0.02,-0.072,0.11
19,303,102,3,3.5,3,8.5,0,-0.056,-0.075,-0.011,-0.001,-0.014,-0.07,-0.033,0.004
20,312,107,3,3,2,7.9,1,-0.031,-0.037,-0.009,-0.003,-0.031,-0.156,0.009,0.006
21,325,114,4,3,2,8.4,0,0.018,0.055,0.016,-0.004,-0.062,-0.119,-0.066,0.102
22,328,116,5,5,5,9.5,1,0.066,0.17,0.067,0.013,0.053,0.318,0.04,0.991
23,334,119,5,5,4.5,9.7,1,0.09,0.165,0.062,0.016,0.032,0.325,0.044,0.998
24,336,119,5,4,3.5,9.8,1,0.116,0.158,0.055,0.006,0.009,0.33,0.06,0.998
25,340,120,5,4.5,4.5,9.6,1,0.115,0.18,0.051,0.01,0.028,0.305,0.046,0.998
26,322,109,5,4.5,3.5,8.8,0,0.014,-0.007,0.065,0.012,-0.007,0.01,-0.083,0.268
27,298,98,2,1.5,2.5,7.5,1,-0.047,-0.071,-0.017,-0.006,-0.017,-0.11,0.005,0
28,295,93,1,2,2,7.2,0,-0.041,-0.072,-0.02,-0.004,-0.018,-0.089,-0.021,0
29,310,99,2,1.5,2,7.3,0,-0.025,-0.065,-0.018,-0.006,-0.02,-0.109,-0.021,0
30,300,97,2,3,3,8.1,1,-0.051,-0.092,-0.021,-0.002,-0.013,-0.091,0.006,0.001
31,327,103,3,4,4,8.3,1,0.018,-0.106,-0.011,0.003,0.004,-0.132,0.019,0.057
32,338,118,4,3,4.5,9.4,1,0.131,0.201,0.03,0,0.037,0.272,0.057,0.991
33,340,114,5,4,4,9.6,1,0.121,0.113,0.062,0.006,0.025,0.343,0.059,0.993
34,331,112,5,4,5,9.8,1,0.079,0.081,0.043,0.008,0.05,0.416,0.052,0.993
35,320,110,5,5,5,9.2,1,0.033,0.078,0.091,0.022,0.08,0.254,0.068,0.89
36,299,106,2,4,4,8.4,0,-0.067,-0.044,-0.027,0.001,0.001,-0.085,-0.039,0.005
37,300,105,1,1,2,7.8,0,-0.044,-0.04,-0.028,-0.008,-0.022,-0.096,-0.025,0
38,304,105,1,3,1.5,7.5,0,-0.036,-0.036,-0.027,-0.002,-0.028,-0.109,-0.025,0
39,307,108,2,4,3.5,7.7,0,-0.039,-0.026,-0.022,0.001,-0.007,-0.138,-0.032,0.001
40,308,110,3,3.5,3,8,1,-0.046,-0.013,-0.012,-0.001,-0.016,-0.171,0.012,0.017
41,316,105,2,2.5,2.5,8.2,1,-0.024,-0.06,-0.03,-0.006,-0.026,-0.118,0.01,0.01
42,313,107,2,2.5,2,8.5,1,-0.039,-0.044,-0.035,-0.006,-0.046,-0.083,0.013,0.023
43,332,117,4,4.5,4,9.1,0,0.122,0.249,0.044,0.015,0.029,0.216,-0.059,0.881
44,326,113,5,4.5,4,9.4,1,0.071,0.136,0.073,0.012,0.027,0.321,0.057,0.961
45,322,110,5,5,4,9.1,1,0.048,0.072,0.096,0.024,0.031,0.21,0.073,0.817
46,329,114,5,4,5,9.3,1,0.083,0.139,0.082,0.008,0.063,0.287,0.05,0.976
47,339,119,5,4.5,4,9.7,0,0.108,0.17,0.058,0.01,0.021,0.395,-0.033,0.994
48,321,110,3,3.5,5,8.85,1,0.025,0.044,-0.007,0.003,0.08,0.078,0.065,0.551
49,327,111,4,3,4,8.4,1,0.053,0.047,0.033,-0.004,0.02,-0.113,0.044,0.345
50,313,98,3,2.5,4.5,8.3,1,-0.032,-0.131,-0.013,-0.006,0.011,-0.095,0.01,0.009
51,312,100,2,1.5,3.5,7.9,1,-0.027,-0.084,-0.021,-0.007,-0.006,-0.124,0.007,0.002
52,334,116,4,4,3,8,1,0.098,0.136,0.032,0.009,-0.028,-0.229,0.052,0.333
53,324,112,4,4,2.5,8.1,1,0.013,0.026,0.018,0.005,-0.042,-0.2,0.027,0.111
54,322,110,3,3,3.5,8,0,-0.004,-0.01,-0.011,-0.003,-0.007,-0.171,-0.041,0.016
55,320,103,3,3,3,7.7,0,-0.01,-0.058,-0.01,-0.003,-0.014,-0.138,-0.031,0.001
56,316,102,3,2,3,7.4,0,-0.017,-0.059,-0.009,-0.005,-0.012,-0.134,-0.028,0
57,298,99,2,4,2,7.6,0,-0.044,-0.065,-0.016,0,-0.021,-0.096,-0.022,0
58,300,99,1,3,2,6.8,1,-0.04,-0.062,-0.024,-0.002,-0.021,-0.121,0.006,0
59,311,104,2,2,2,8.3,0,-0.033,-0.055,-0.023,-0.006,-0.029,-0.085,-0.032,0.002
60,309,100,2,3,3,8.1,0,-0.033,-0.073,-0.021,-0.003,-0.012,-0.093,-0.029,0.001
61,307,101,3,4,3,8.2,0,-0.039,-0.078,-0.008,0.001,-0.013,-0.092,-0.033,0.002
62,304,105,2,3,3,8.2,1,-0.054,-0.056,-0.027,-0.003,-0.016,-0.11,0.008,0.006
63,315,107,2,4,3,8.5,1,-0.035,-0.046,-0.04,0.002,-0.024,-0.092,0.016,0.046
64,325,111,3,3,3.5,8.7,0,0.023,0.02,-0.012,-0.005,-0.01,-0.036,-0.077,0.167
65,325,112,4,3.5,3.5,8.92,0,0.052,0.076,0.036,0.002,-0.003,0.078,-0.085,0.42
66,327,114,3,3,3,9.02,0,0.075,0.129,-0.007,-0.004,-0.03,0.122,-0.083,0.467
67,316,107,2,3.5,3.5,8.64,1,-0.034,-0.051,-0.045,-0.001,-0.012,-0.059,0.022,0.085
68,318,109,3,3.5,4,9.22,1,0.007,0.036,-0.004,0.004,0.029,0.214,0.069,0.617
69,328,115,4,4.5,4,9.16,1,0.086,0.188,0.043,0.014,0.028,0.24,0.07,0.934
70,332,118,5,5,5,9.64,1,0.089,0.161,0.066,0.014,0.045,0.308,0.05,0.997
71,336,112,5,5,5,9.76,1,0.104,0.081,0.069,0.015,0.048,0.38,0.033,0.995
72,321,111,5,5,5,9.45,1,0.04,0.102,0.071,0.019,0.068,0.338,0.055,0.957
73,314,108,4,4.5,4,9.04,1,-0.036,-0.007,0.04,0.016,0.025,0.127,0.058,0.487
74,314,106,3,3,5,8.9,0,-0.044,-0.069,-0.015,-0.004,0.041,0.005,-0.07,0.108
75,329,114,2,2,4,8.56,1,0.08,0.118,-0.056,-0.017,0.023,-0.039,0.057,0.429
76,327,112,3,3,3,8.72,1,0.066,0.078,-0.009,-0.004,-0.032,0.011,0.055,0.428
77,301,99,2,3,2,8.22,0,-0.045,-0.072,-0.019,-0.002,-0.024,-0.074,-0.027,0
78,296,95,2,3,2,7.54,1,-0.048,-0.081,-0.017,-0.002,-0.02,-0.1,0.005,0
79,294,93,1,1.5,2,7.36,0,-0.044,-0.074,-0.021,-0.005,-0.017,-0.084,-0.02,0
80,312,105,3,2,3,8.02,1,-0.035,-0.052,-0.012,-0.008,-0.016,-0.144,0.009,0.007
81,340,120,4,5,5,9.5,1,0.101,0.216,0.028,0.011,0.046,0.295,0.037,0.997
82,320,110,5,5,4.5,9.22,1,0.035,0.074,0.094,0.022,0.055,0.262,0.068,0.874
83,322,115,5,4,4.5,9.36,1,0.047,0.17,0.075,0.009,0.046,0.307,0.05,0.967
84,340,115,5,4.5,4.5,9.45,1,0.128,0.147,0.057,0.009,0.044,0.287,0.056,0.993
85,319,103,4,4.5,3.5,8.66,0,-0.017,-0.103,0.008,0.005,-0.01,-0.05,-0.058,0.039
86,315,106,3,4.5,3.5,8.42,0,-0.029,-0.053,-0.011,0.004,-0.009,-0.1,-0.047,0.019
87,317,107,2,3.5,3,8.28,0,-0.021,-0.041,-0.025,-0.001,-0.017,-0.108,-0.041,0.009
88,314,108,3,4.5,3.5,8.14,0,-0.029,-0.032,-0.01,0.003,-0.008,-0.137,-0.04,0.011
89,316,109,4,4.5,3.5,8.76,1,-0.029,-0.006,0.036,0.014,-0.008,0,0.046,0.317
90,318,106,2,4,4,7.92,1,-0.014,-0.046,-0.03,0.002,0.002,-0.175,0.011,0.013
91,299,97,3,5,3.5,7.66,0,-0.045,-0.078,-0.007,0.003,-0.005,-0.108,-0.024,0
92,298,98,2,4,3,8.03,0,-0.047,-0.076,-0.02,0,-0.012,-0.085,-0.026,0
93,301,97,2,3,3,7.88,1,-0.046,-0.086,-0.019,-0.002,-0.012,-0.104,0.006,0
94,303,99,3,2,2.5,7.66,0,-0.037,-0.07,-0.009,-0.005,-0.017,-0.103,-0.024,0
95,304,100,4,1.5,2.5,7.84,0,-0.04,-0.069,0.003,-0.007,-0.019,-0.105,-0.027,0
96,306,100,2,3,3,8,0,-0.037,-0.07,-0.021,-0.002,-0.012,-0.094,-0.027,0
97,331,120,3,4,4,8.96,1,0.101,0.307,0.006,0.008,0.027,0.169,0.062,0.944
98,332,119,4,5,4.5,9.24,1,0.099,0.225,0.041,0.014,0.038,0.239,0.066,0.986
99,323,113,3,4,4,8.88,1,0.052,0.133,-0.002,0.011,0.028,0.098,0.073,0.657
100,322,107,3,3.5,3.5,8.46,1,-0.003,-0.05,-0.015,0,-0.01,-0.106,0.025,0.106
101,312,105,2,2.5,3,8.12,0,-0.03,-0.047,-0.024,-0.004,-0.015,-0.109,-0.032,0.002
102,314,106,2,4,3.5,8.25,0,-0.029,-0.049,-0.029,0.001,-0.007,-0.107,-0.037,0.007
103,317,104,2,4.5,4,8.47,0,-0.022,-0.079,-0.031,0.004,0.002,-0.078,-0.045,0.014
104,326,112,3,3.5,3,9.05,1,0.073,0.116,-0.002,0.004,-0.027,0.17,0.067,0.664
105,316,110,3,4,4.5,8.78,1,-0.028,0.025,-0.011,0.008,0.045,0.02,0.052,0.376
106,329,111,4,4.5,4.5,9.18,1,0.108,0.096,0.047,0.016,0.053,0.25,0.066,0.9
107,338,117,4,3.5,4.5,9.46,1,0.135,0.166,0.029,0.003,0.033,0.318,0.042,0.991
108,331,116,5,5,5,9.38,1,0.09,0.163,0.073,0.015,0.048,0.293,0.043,0.99
109,304,103,5,5,4,8.64,0,-0.077,-0.091,0.027,0.007,0.001,-0.056,-0.05,0.026
110,305,108,5,3,3,8.48,0,-0.071,-0.031,0.026,-0.004,-0.02,-0.09,-0.049,0.025
111,321,109,4,4,4,8.68,1,0.014,0,0.036,0.008,0.019,-0.016,0.051,0.376
112,301,107,3,3.5,3.5,8.34,1,-0.082,-0.046,-0.013,-0.001,-0.008,-0.108,0.012,0.019
113,320,110,2,4,3.5,8.56,0,-0.014,-0.007,-0.041,0.003,-0.008,-0.083,-0.058,0.055
114,311,105,3,3.5,3,8.45,1,-0.049,-0.072,-0.013,-0.001,-0.022,-0.092,0.013,0.029
115,310,106,4,4.5,4.5,9.04,1,-0.074,-0.062,0.036,0.015,0.043,0.098,0.056,0.376
116,299,102,3,4,3.5,8.62,0,-0.066,-0.08,-0.012,0.001,-0.008,-0.057,-0.037,0.005
117,290,104,4,2,2.5,7.46,0,-0.063,-0.042,0.003,-0.005,-0.018,-0.113,-0.026,0
118,296,99,2,3,3.5,7.28,0,-0.045,-0.068,-0.017,-0.002,-0.006,-0.104,-0.022,0
119,327,104,5,3,3.5,8.84,1,0.062,-0.113,0.074,-0.004,-0.005,0.036,0.051,0.364
120,335,117,5,5,5,9.56,1,0.08,0.152,0.071,0.014,0.057,0.311,0.047,0.996
121,334,119,5,4.5,4.5,9.48,1,0.11,0.195,0.061,0.01,0.036,0.263,0.057,0.995
122,310,106,4,1.5,2.5,8.36,0,-0.041,-0.046,0.004,-0.009,-0.027,-0.098,-0.039,0.008
123,308,108,3,3.5,3.5,8.22,0,-0.047,-0.032,-0.011,-0.001,-0.008,-0.119,-0.037,0.009
124,301,106,4,2.5,3,8.47,0,-0.068,-0.053,0.003,-0.006,-0.017,-0.078,-0.037,0.008
125,300,100,3,2,3,8.66,1,-0.071,-0.101,-0.014,-0.008,-0.018,-0.053,0.009,0.008
126,323,113,3,4,3,9.32,1,0.053,0.149,0.003,0.01,-0.02,0.294,0.071,0.823
127,319,112,3,2.5,2,8.71,1,-0.009,0.046,-0.013,-0.01,-0.08,-0.027,0.036,0.207
128,326,112,3,3.5,3,9.1,1,0.083,0.111,-0.001,0.004,-0.025,0.185,0.075,0.696
129,333,118,5,5,5,9.35,1,0.107,0.206,0.057,0.013,0.054,0.254,0.038,0.993
130,339,114,5,4,4.5,9.76,1,0.145,0.098,0.066,0.007,0.025,0.34,0.051,0.996
131,303,105,5,5,4.5,8.65,0,-0.094,-0.074,0.032,0.009,0.016,-0.052,-0.056,0.045
132,309,105,5,3.5,3.5,8.56,0,-0.053,-0.07,0.027,-0.001,-0.008,-0.08,-0.049,0.029
133,323,112,5,4,4.5,8.78,0,0.036,0.094,0.084,0.009,0.05,0.039,-0.082,0.494
134,333,113,5,4,4,9.28,1,0.123,0.125,0.075,0.009,0.022,0.29,0.055,0.963
135,314,109,4,3.5,4,8.77,1,-0.046,-0.003,0.034,0.002,0.019,0.004,0.044,0.318
136,312,103,3,5,4,8.45,0,-0.039,-0.082,-0.011,0.006,0.001,-0.086,-0.041,0.012
137,316,100,2,1.5,3,8.16,1,-0.022,-0.087,-0.025,-0.009,-0.014,-0.11,0.008,0.004
138,326,116,2,4.5,3,9.08,1,0.079,0.225,-0.044,0.016,-0.023,0.196,0.072,0.785
139,318,109,1,3.5,3.5,9.12,0,-0.018,-0.015,-0.088,0,-0.01,0.068,-0.075,0.127
140,329,110,2,4,3,9.15,1,0.101,0.061,-0.052,0.01,-0.027,0.181,0.075,0.613
141,332,118,2,4.5,3.5,9.36,1,0.113,0.239,-0.027,0.014,0.006,0.291,0.059,0.959
142,331,115,5,4,3.5,9.44,1,0.104,0.168,0.069,0.009,0.007,0.305,0.053,0.978
143,340,120,4,4.5,4,9.92,1,0.094,0.14,0.031,0.009,0.018,0.401,0.041,0.999
144,325,112,2,3,3.5,8.96,1,0.061,0.097,-0.055,-0.004,-0.001,0.103,0.068,0.533
145,320,113,2,2,2.5,8.64,1,-0.003,0.056,-0.052,-0.015,-0.053,-0.051,0.037,0.183
146,315,105,3,2,2.5,8.48,0,-0.03,-0.062,-0.014,-0.009,-0.029,-0.071,-0.04,0.009
147,326,114,3,3,3,9.11,1,0.08,0.168,0.001,-0.002,-0.023,0.21,0.071,0.769
148,339,116,4,4,3.5,9.8,1,0.12,0.131,0.025,0.005,0.006,0.401,0.042,0.995
149,311,106,2,3.5,3,8.26,1,-0.042,-0.051,-0.03,-0.001,-0.018,-0.118,0.011,0.014
150,334,114,4,4,4,9.43,1,0.12,0.148,0.038,0.008,0.023,0.319,0.055,0.974
151,332,116,5,5,5,9.28,1,0.11,0.16,0.069,0.019,0.058,0.254,0.053,0.987
152,321,112,5,5,5,9.06,1,0.042,0.122,0.091,0.022,0.079,0.204,0.071,0.894
153,324,105,3,3,4,8.75,0,0.008,-0.082,-0.017,-0.004,0.006,-0.037,-0.063,0.075
154,326,108,3,3,3.5,8.89,0,0.032,-0.034,-0.013,-0.005,-0.01,0.017,-0.078,0.172
155,312,109,3,3,3,8.69,0,-0.049,-0.022,-0.014,-0.004,-0.023,-0.054,-0.057,0.042
156,315,105,3,2,2.5,8.34,0,-0.026,-0.058,-0.013,-0.008,-0.026,-0.088,-0.039,0.006
157,309,104,2,2,2.5,8.26,0,-0.035,-0.055,-0.023,-0.007,-0.022,-0.088,-0.034,0.002
158,306,106,2,2,2.5,8.14,0,-0.043,-0.04,-0.022,-0.006,-0.021,-0.099,-0.032,0.002
159,297,100,1,1.5,2,7.9,0,-0.047,-0.055,-0.026,-0.006,-0.022,-0.084,-0.025,0
160,315,103,1,1.5,2,7.86,0,-0.02,-0.051,-0.031,-0.007,-0.025,-0.103,-0.027,0
161,298,99,1,1.5,3,7.46,0,-0.044,-0.057,-0.023,-0.006,-0.01,-0.101,-0.024,0
162,318,109,3,3,3,8.5,0,-0.022,-0.024,-0.013,-0.004,-0.022,-0.088,-0.056,0.036
163,317,105,3,3.5,3,8.56,0,-0.026,-0.065,-0.015,-0.001,-0.021,-0.068,-0.049,0.019
164,329,111,4,4.5,4,9.01,1,0.11,0.092,0.049,0.016,0.03,0.178,0.073,0.814
165,322,110,5,4.5,4,8.97,0,0.033,0.04,0.085,0.016,0.026,0.099,-0.084,0.479
166,302,102,3,3.5,5,8.33,0,-0.062,-0.079,-0.01,-0.001,0.017,-0.086,-0.037,0.005
