id,GRE_Score_v,TOEFL_Score_v,University_Rating_v,SOP_v,LOR_v,CGPA_v,Research_v,GRE_Score_a,TOEFL_Score_a,University_Rating_a,SOP_a,LOR_a,CGPA_a,Research_a,y
333,319,108,3,3,3.5,8.54,1,-0.015,-0.033,-0.016,-0.004,-0.009,-0.09,0.027,0.124
334,312,107,4,4.5,4,8.65,1,-0.055,-0.055,0.019,0.01,0.012,-0.052,0.033,0.175
335,325,111,4,4,4.5,9.11,1,0.073,0.098,0.05,0.01,0.057,0.215,0.073,0.841
336,319,110,3,3,2.5,8.79,0,-0.018,-0.007,-0.012,-0.004,-0.046,-0.022,-0.069,0.085
337,332,118,5,5,5,9.47,1,0.092,0.186,0.061,0.016,0.051,0.288,0.038,0.995
338,323,108,5,4,4,8.74,1,0.037,-0.011,0.085,0.009,0.022,0.028,0.062,0.496
339,324,107,5,3.5,4,8.66,1,0.04,-0.037,0.076,0.002,0.022,-0.024,0.051,0.393
340,312,107,3,3,3,8.46,1,-0.046,-0.051,-0.015,-0.004,-0.023,-0.098,0.016,0.044
341,326,110,3,3.5,3.5,8.76,1,0.052,0.03,-0.01,0.002,-0.005,0.016,0.059,0.409
342,308,106,3,3,3,8.24,0,-0.045,-0.045,-0.012,-0.004,-0.017,-0.098,-0.039,0.005
343,305,103,2,2.5,3.5,8.13,0,-0.042,-0.061,-0.023,-0.004,-0.007,-0.095,-0.03,0.001
344,295,96,2,1.5,2,7.34,0,-0.045,-0.072,-0.014,-0.005,-0.018,-0.088,-0.022,0
345,316,98,1,1.5,2,7.43,0,-0.015,-0.071,-0.024,-0.006,-0.02,-0.107,-0.022,0
346,304,97,2,1.5,2,7.64,0,-0.033,-0.071,-0.016,-0.006,-0.019,-0.096,-0.023,0
347,299,94,1,1,1,7.34,0,-0.029,-0.065,-0.021,-0.005,-0.022,-0.102,-0.02,0
348,302,99,1,2,2,7.25,0,-0.036,-0.063,-0.023,-0.005,-0.019,-0.099,-0.02,0
349,313,101,3,2.5,3,8.04,0,-0.024,-0.074,-0.009,-0.004,-0.015,-0.106,-0.031,0.001
350,318,107,3,3,3.5,8.27,1,-0.019,-0.046,-0.014,-0.004,-0.007,-0.144,0.016,0.046
351,325,110,4,3.5,4,8.67,1,0.049,0.034,0.042,0.002,0.023,-0.01,0.067,0.471
352,303,100,2,3,3.5,8.06,1,-0.049,-0.083,-0.022,-0.003,-0.007,-0.107,0.007,0.002
353,300,102,3,3.5,2.5,8.17,0,-0.052,-0.062,-0.011,-0.001,-0.021,-0.088,-0.029,0.001
354,297,98,2,2.5,3,7.67,0,-0.048,-0.065,-0.017,-0.003,-0.011,-0.097,-0.023,0
355,317,106,2,2,3.5,8.12,0,-0.022,-0.043,-0.025,-0.007,-0.007,-0.119,-0.037,0.005
356,327,109,3,3.5,4,8.77,1,0.066,0.013,-0.008,0.002,0.024,0.021,0.055,0.436
357,301,104,2,3.5,3.5,7.89,1,-0.055,-0.052,-0.021,-0.001,-0.008,-0.132,0.007,0.002
358,314,105,2,2.5,2,7.64,0,-0.022,-0.042,-0.02,-0.004,-0.026,-0.122,-0.028,0
359,321,107,2,2,1.5,8.44,0,-0.008,-0.041,-0.027,-0.008,-0.049,-0.082,-0.042,0.008
360,322,110,3,4,5,8.64,1,0.026,0.025,-0.007,0.009,0.074,-0.021,0.055,0.424
361,334,116,4,4,3.5,9.54,1,0.091,0.185,0.035,0.007,0.005,0.35,0.048,0.984
362,338,115,5,4.5,5,9.23,1,0.129,0.169,0.077,0.012,0.048,0.23,0.057,0.987
363,306,103,2,2.5,3,8.36,0,-0.047,-0.062,-0.025,-0.005,-0.015,-0.075,-0.033,0.002
364,313,102,3,3.5,4,8.9,1,-0.046,-0.143,-0.017,0,0.008,0.008,0.025,0.099
365,330,114,4,4.5,3,9.17,1,0.111,0.168,0.044,0.015,-0.015,0.245,0.067,0.899
366,320,104,3,3.5,4.5,8.34,1,-0.011,-0.094,-0.015,0,0.018,-0.122,0.018,0.057
367,311,98,1,1,2.5,7.46,0,-0.022,-0.07,-0.024,-0.007,-0.015,-0.103,-0.022,0
368,298,92,1,2,2,7.88,0,-0.04,-0.084,-0.024,-0.004,-0.019,-0.073,-0.02,0
369,301,98,1,2,3,8.03,1,-0.048,-0.081,-0.03,-0.005,-0.013,-0.093,0.006,0
370,310,103,2,2.5,2.5,8.24,0,-0.034,-0.064,-0.023,-0.004,-0.021,-0.087,-0.03,0.002
371,324,110,3,3.5,3,9.22,1,0.061,0.063,-0.002,0.003,-0.027,0.228,0.067,0.658
372,336,119,4,4.5,4,9.62,1,0.099,0.194,0.028,0.01,0.021,0.332,0.047,0.995
373,321,109,3,3,3,8.54,1,-0.002,-0.019,-0.015,-0.005,-0.029,-0.083,0.027,0.138
374,315,105,2,2,2.5,7.65,0,-0.021,-0.042,-0.021,-0.005,-0.02,-0.126,-0.029,0.001
375,304,101,2,2,2.5,7.66,0,-0.037,-0.058,-0.019,-0.005,-0.017,-0.102,-0.026,0
376,297,96,2,2.5,2,7.43,0,-0.043,-0.072,-0.015,-0.003,-0.021,-0.091,-0.019,0
377,290,100,1,1.5,2,7.56,0,-0.053,-0.053,-0.024,-0.006,-0.022,-0.082,-0.024,0
378,303,98,1,2,2.5,7.65,0,-0.032,-0.064,-0.027,-0.004,-0.015,-0.098,-0.023,0
379,311,99,1,2.5,3,8.43,1,-0.034,-0.104,-0.037,-0.005,-0.017,-0.071,0.008,0.004
380,322,104,3,3.5,4,8.84,1,0.009,-0.115,-0.014,0.001,0.014,0.004,0.038,0.201
381,319,105,3,3,3.5,8.67,1,-0.013,-0.089,-0.014,-0.004,-0.008,-0.056,0.024,0.103
382,324,110,4,4.5,4,9.15,1,0.065,0.068,0.047,0.017,0.03,0.228,0.075,0.795
383,300,100,3,3,3.5,8.26,0,-0.055,-0.078,-0.01,-0.002,-0.006,-0.082,-0.03,0.001
384,340,113,4,5,5,9.74,1,0.11,0.103,0.023,0.013,0.045,0.388,0.049,0.995
385,335,117,5,5,5,9.82,1,0.088,0.14,0.048,0.015,0.049,0.351,0.043,0.998
386,302,101,2,2.5,3.5,7.96,0,-0.044,-0.065,-0.019,-0.004,-0.007,-0.098,-0.028,0
387,307,105,2,2,3.5,8.1,0,-0.041,-0.048,-0.022,-0.006,-0.008,-0.103,-0.034,0.002
388,296,97,2,1.5,2,7.8,0,-0.043,-0.069,-0.015,-0.006,-0.022,-0.086,-0.024,0
389,320,108,3,3.5,4,8.44,1,-0.011,-0.036,-0.012,0,0.009,-0.113,0.026,0.128
390,314,102,2,2,2.5,8.24,0,-0.025,-0.067,-0.024,-0.006,-0.021,-0.088,-0.031,0.002
391,318,106,3,2,3,8.65,0,-0.02,-0.06,-0.013,-0.01,-0.024,-0.054,-0.055,0.028
392,326,112,4,4,3.5,9.12,1,0.084,0.121,0.047,0.011,0.005,0.217,0.073,0.822
393,317,104,2,3,3,8.76,0,-0.025,-0.075,-0.033,-0.004,-0.023,-0.037,-0.049,0.019
394,329,111,4,4.5,4,9.23,1,0.105,0.096,0.042,0.015,0.03,0.267,0.074,0.894
395,324,110,3,3.5,3.5,9.04,1,0.055,0.051,-0.004,0.003,-0.001,0.143,0.07,0.582
396,325,107,3,3,3.5,9.11,1,0.057,-0.031,-0.006,-0.004,-0.003,0.148,0.064,0.49
397,330,116,4,5,4.5,9.45,1,0.088,0.186,0.033,0.014,0.039,0.308,0.053,0.984
398,312,103,3,3.5,4,8.78,0,-0.042,-0.098,-0.014,-0.001,0.002,-0.031,-0.054,0.027
399,333,117,4,5,4,9.66,1,0.095,0.157,0.03,0.012,0.018,0.375,0.041,0.993
400,304,100,2,3.5,3,8.22,0,-0.044,-0.073,-0.021,-0.001,-0.015,-0.081,-0.029,0.001
401,315,105,2,3,3,8.34,0,-0.025,-0.052,-0.028,-0.003,-0.016,-0.094,-0.04,0.006
402,324,109,3,3.5,3,8.94,1,0.043,0.008,-0.01,0.003,-0.032,0.073,0.056,0.406
403,330,116,4,4,3.5,9.23,1,0.1,0.206,0.039,0.007,0.006,0.265,0.061,0.949
404,311,101,3,2,2.5,7.64,1,-0.029,-0.07,-0.009,-0.006,-0.019,-0.137,0.006,0.001
405,302,99,3,2.5,3,7.45,0,-0.041,-0.066,-0.008,-0.004,-0.011,-0.112,-0.023,0
406,322,103,4,3,2.5,8.02,1,-0.006,-0.08,0.006,-0.003,-0.03,-0.15,0.011,0.013
407,298,100,3,2.5,4,7.95,1,-0.062,-0.082,-0.009,-0.005,0,-0.112,0.007,0.001
408,297,101,3,2,4,7.67,1,-0.056,-0.067,-0.01,-0.006,0.001,-0.132,0.006,0.001
409,300,98,1,2,2.5,8.02,0,-0.043,-0.069,-0.027,-0.005,-0.017,-0.078,-0.025,0
410,301,96,1,3,4,7.56,0,-0.034,-0.078,-0.023,-0.002,0,-0.107,-0.02,0
411,313,94,2,2.5,1.5,8.13,0,-0.022,-0.091,-0.018,-0.003,-0.028,-0.076,-0.025,0
412,314,102,4,2.5,2,7.88,1,-0.027,-0.074,0.002,-0.005,-0.03,-0.137,0.008,0.003
413,317,101,3,3,2,7.94,1,-0.02,-0.078,-0.011,-0.003,-0.033,-0.126,0.008,0.003
414,321,110,4,3.5,4,8.35,1,0,0.007,0.022,0.001,0.012,-0.135,0.036,0.207
415,327,106,4,4,4.5,8.75,1,0.065,-0.062,0.037,0.009,0.046,0.019,0.056,0.432
416,315,104,3,4,2.5,8.1,0,-0.025,-0.059,-0.01,0.001,-0.024,-0.11,-0.035,0.003
417,316,103,3,3.5,2,7.68,0,-0.018,-0.055,-0.009,-0.001,-0.026,-0.126,-0.028,0.001
418,309,111,2,2.5,4,8.03,0,-0.044,-0.002,-0.025,-0.005,0.001,-0.147,-0.036,0.007
419,308,102,2,2,3.5,7.98,1,-0.041,-0.071,-0.023,-0.006,-0.007,-0.12,0.007,0.002
420,299,100,3,2,3,7.42,0,-0.043,-0.062,-0.008,-0.005,-0.012,-0.11,-0.024,0
421,321,112,3,3,4.5,8.95,1,0.03,0.113,-0.004,-0.003,0.058,0.126,0.069,0.653
422,322,112,4,3.5,2.5,9.02,1,0.04,0.107,0.045,0.003,-0.055,0.146,0.068,0.618
423,334,119,5,4.5,5,9.54,1,0.091,0.188,0.062,0.009,0.05,0.286,0.047,0.997
424,325,114,5,4,5,9.46,1,0.064,0.133,0.065,0.008,0.058,0.333,0.055,0.98
425,323,111,5,4,5,9.86,1,0.033,0.059,0.05,0.005,0.059,0.477,0.04,0.987
426,312,106,3,3,5,8.57,0,-0.046,-0.066,-0.014,-0.004,0.027,-0.071,-0.052,0.038
427,310,101,3,3.5,5,8.65,1,-0.054,-0.144,-0.014,-0.001,0.031,-0.051,0.018,0.051
428,316,103,2,2,4.5,8.74,0,-0.028,-0.097,-0.033,-0.009,0.013,-0.038,-0.049,0.023
429,340,115,5,5,4.5,9.06,1,0.155,0.161,0.07,0.017,0.043,0.211,0.057,0.978
430,311,104,3,4,3.5,8.13,1,-0.04,-0.065,-0.012,0.001,-0.007,-0.139,0.01,0.012
431,320,112,2,3.5,3.5,8.78,1,0.005,0.06,-0.056,0.001,-0.007,0.01,0.056,0.333
432,324,112,4,4.5,4,9.22,1,0.064,0.119,0.047,0.015,0.03,0.265,0.073,0.877
433,316,111,4,4,5,8.54,0,-0.029,0.017,0.022,0.005,0.048,-0.08,-0.075,0.172
434,306,103,3,3.5,3,8.21,0,-0.046,-0.064,-0.009,-0.001,-0.014,-0.094,-0.034,0.002
435,309,105,2,2.5,4,7.68,0,-0.033,-0.044,-0.021,-0.004,0,-0.131,-0.03,0.001
436,310,110,1,1.5,4,7.23,1,-0.032,-0.006,-0.036,-0.007,0.002,-0.193,0.01,0.001
437,317,106,1,1.5,3.5,7.65,1,-0.017,-0.039,-0.036,-0.009,-0.007,-0.162,0.008,0.002
438,318,110,1,2.5,3.5,8.54,1,-0.019,-0.008,-0.074,-0.008,-0.01,-0.085,0.022,0.081
439,312,105,2,1.5,3,8.46,0,-0.034,-0.063,-0.027,-0.01,-0.017,-0.07,-0.038,0.006
440,305,104,2,2.5,1.5,7.79,0,-0.038,-0.046,-0.018,-0.004,-0.03,-0.102,-0.026,0
441,332,112,1,1.5,3,8.66,1,0.084,0.051,-0.101,-0.022,-0.031,-0.03,0.047,0.262
442,331,116,4,4.5,4.5,9.44,1,0.085,0.161,0.033,0.012,0.036,0.333,0.059,0.984
443,321,114,5,4.5,4.5,9.16,1,0.038,0.164,0.086,0.014,0.05,0.243,0.07,0.929
444,324,113,5,4,5,9.25,1,0.058,0.145,0.077,0.008,0.07,0.267,0.064,0.953
445,328,116,5,4.5,5,9.08,1,0.086,0.221,0.074,0.012,0.065,0.194,0.051,0.968
446,327,118,4,5,5,9.67,1,0.056,0.175,0.032,0.011,0.049,0.352,0.056,0.994
447,320,108,3,3.5,5,8.97,1,0.019,-0.012,-0.006,0.003,0.084,0.105,0.067,0.524
448,312,109,2,2.5,4,9.02,0,-0.055,-0.02,-0.05,-0.009,0.007,0.037,-0.07,0.105
449,315,101,3,3.5,4.5,9.13,0,-0.034,-0.155,-0.011,0,0.023,0.054,-0.066,0.075
450,320,112,4,3,4.5,8.86,1,0.027,0.107,0.045,-0.003,0.057,0.097,0.069,0.662
451,324,113,4,4.5,4.5,9.25,1,0.061,0.142,0.045,0.015,0.05,0.275,0.068,0.922
452,328,116,4,5,3.5,9.6,1,0.073,0.158,0.029,0.015,0.007,0.389,0.046,0.982
453,319,103,3,2.5,4,8.76,1,-0.014,-0.128,-0.015,-0.009,0.008,-0.025,0.025,0.107
454,310,105,2,3,3.5,8.01,0,-0.036,-0.048,-0.024,-0.003,-0.008,-0.112,-0.033,0.002
455,305,102,2,1.5,2.5,7.64,0,-0.035,-0.055,-0.019,-0.006,-0.018,-0.107,-0.025,0
456,299,100,2,2,2,7.88,0,-0.045,-0.063,-0.018,-0.005,-0.022,-0.085,-0.025,0
457,295,99,1,2,1.5,7.57,0,-0.044,-0.057,-0.024,-0.005,-0.023,-0.091,-0.021,0
458,312,100,1,3,3,8.53,1,-0.038,-0.102,-0.039,-0.003,-0.017,-0.067,0.009,0.007
459,329,113,4,4,3.5,9.36,1,0.095,0.141,0.041,0.01,0.006,0.313,0.064,0.934
460,319,105,4,4,4.5,8.66,1,-0.008,-0.094,0.023,0.006,0.034,-0.045,0.036,0.217
461,301,102,3,2.5,2,8.13,1,-0.054,-0.071,-0.01,-0.005,-0.029,-0.099,0.007,0.002
462,307,105,4,3,3,7.94,0,-0.04,-0.045,0.003,-0.002,-0.015,-0.129,-0.032,0.002
463,304,107,3,3.5,3,7.86,0,-0.047,-0.035,-0.01,-0.001,-0.014,-0.127,-0.03,0.001
464,298,97,2,2,3,7.21,0,-0.038,-0.076,-0.015,-0.004,-0.01,-0.097,-0.024,0
465,305,96,4,3,4.5,8.26,0,-0.044,-0.109,0.003,-0.003,0.007,-0.084,-0.032,0.002
466,314,99,4,3.5,4.5,8.73,1,-0.039,-0.181,0.013,0,0.02,-0.032,0.021,0.066
467,318,101,5,3.5,5,8.78,1,-0.016,-0.178,0.06,0.001,0.053,-0.003,0.04,0.223
468,323,110,4,4,5,8.88,1,0.051,0.067,0.048,0.01,0.086,0.103,0.073,0.702
469,326,114,4,4,3.5,9.16,1,0.079,0.173,0.046,0.009,0.006,0.24,0.068,0.886
470,320,110,5,4,4,9.27,1,0.034,0.076,0.093,0.01,0.028,0.279,0.07,0.854
471,311,103,3,2,4,8.09,0,-0.034,-0.061,-0.011,-0.006,0,-0.114,-0.035,0.003
472,327,116,4,4,4.5,9.48,1,0.068,0.176,0.038,0.008,0.044,0.324,0.059,0.98
473,316,102,2,4,3.5,8.15,0,-0.022,-0.073,-0.025,0.001,-0.007,-0.102,-0.033,0.003
474,308,105,4,3,2.5,7.95,1,-0.042,-0.051,0.005,-0.003,-0.024,-0.152,0.009,0.006
475,300,101,3,3.5,2.5,7.88,0,-0.048,-0.063,-0.008,-0.001,-0.018,-0.099,-0.027,0
476,304,104,3,2.5,2,8.12,0,-0.045,-0.052,-0.01,-0.004,-0.028,-0.094,-0.03,0.001
477,309,105,4,3.5,2,8.18,0,-0.042,-0.054,0.003,-0.001,-0.032,-0.099,-0.035,0.003
478,318,103,3,4,4.5,8.49,1,-0.02,-0.113,-0.012,0.003,0.019,-0.093,0.02,0.067
479,325,110,4,4.5,4,8.96,1,0.068,0.062,0.047,0.018,0.031,0.138,0.072,0.701
480,321,102,3,3.5,4,9.01,1,0.006,-0.159,-0.012,0.001,0.013,0.057,0.038,0.208
481,323,107,4,3,2.5,8.48,1,0.008,-0.054,0.015,-0.004,-0.046,-0.101,0.025,0.108
482,328,113,4,4,2.5,8.77,1,0.086,0.127,0.043,0.009,-0.056,0.058,0.066,0.596
483,304,103,5,5,3,7.92,0,-0.047,-0.061,0.015,0.004,-0.014,-0.127,-0.032,0.002
484,317,106,3,3.5,3,7.89,1,-0.02,-0.048,-0.011,-0.001,-0.015,-0.171,0.01,0.01
485,311,101,2,2.5,3.5,8.34,1,-0.037,-0.097,-0.025,-0.005,-0.008,-0.094,0.009,0.007
486,319,102,3,2.5,2.5,8.37,0,-0.015,-0.077,-0.014,-0.005,-0.027,-0.083,-0.038,0.005
487,327,115,4,3.5,4,9.14,0,0.091,0.198,0.047,0.004,0.029,0.214,-0.064,0.782
488,322,112,3,3,4,8.62,1,0.023,0.071,-0.011,-0.004,0.019,-0.037,0.053,0.378
489,302,110,3,4,4.5,8.5,0,-0.089,-0.011,-0.012,0.002,0.015,-0.083,-0.054,0.031
490,307,105,2,2.5,4.5,8.12,1,-0.048,-0.059,-0.028,-0.005,0.01,-0.134,0.01,0.01
491,297,99,4,3,3.5,7.81,0,-0.051,-0.076,0.002,-0.002,-0.005,-0.105,-0.027,0
492,298,101,4,2.5,4.5,7.69,1,-0.062,-0.071,0.002,-0.004,0.008,-0.141,0.007,0.001
493,300,95,2,3,1.5,8.22,1,-0.049,-0.093,-0.019,-0.002,-0.031,-0.075,0.006,0
494,301,99,3,2.5,2,8.45,1,-0.062,-0.096,-0.011,-0.005,-0.03,-0.064,0.007,0.003
495,332,108,5,4.5,4,9.02,1,0.134,0.021,0.096,0.016,0.031,0.179,0.074,0.815
496,337,117,5,5,5,9.87,1,0.094,0.123,0.051,0.011,0.048,0.367,0.042,0.999
497,330,120,5,4.5,5,9.56,1,0.069,0.21,0.066,0.011,0.058,0.274,0.045,0.997
498,312,103,4,4,5,8.43,0,-0.044,-0.094,0.006,0.002,0.024,-0.09,-0.045,0.023
499,327,113,4,4.5,4.5,9.04,0,0.095,0.137,0.045,0.016,0.059,0.165,-0.071,0.711