id,GRE_Score_v,TOEFL_Score_v,University_Rating_v,SOP_v,y
0,337,118,4,4.5,0.996
1,324,107,4,4,0.521
2,316,104,3,3,0.01
3,322,110,3,3.5,0.208
4,314,103,2,2,0.002
5,330,115,5,4.5,0.963
6,321,109,3,3,0.082
7,308,101,2,3,0.001
8,302,102,1,2,0
9,323,108,3,3.5,0.057
10,325,106,3,3.5,0.11
11,327,111,4,4,0.813
12,328,112,4,4,0.884
13,307,109,3,4,0.013
14,311,104,3,3.5,0.007
15,314,105,3,3.5,0.006
16,317,107,3,4,0.045
17,319,106,3,4,0.017
18,318,110,3,4,0.11
19,303,102,3,3.5,0.004
20,312,107,3,3,0.006
21,325,114,4,3,0.102
22,328,116,5,5,0.991
23,334,119,5,5,0.998
24,336,119,5,4,0.998
25,340,120,5,4.5,0.998
26,322,109,5,4.5,0.268
27,298,98,2,1.5,0
28,295,93,1,2,0
29,310,99,2,1.5,0
30,300,97,2,3,0.001
31,327,103,3,4,0.057
32,338,118,4,3,0.991
33,340,114,5,4,0.993
34,331,112,5,4,0.993
35,320,110,5,5,0.89
36,299,106,2,4,0.005
37,300,105,1,1,0
38,304,105,1,3,0
39,307,108,2,4,0.001
40,308,110,3,3.5,0.017
41,316,105,2,2.5,0.01
42,313,107,2,2.5,0.023
43,332,117,4,4.5,0.881
44,326,113,5,4.5,0.961
45,322,110,5,5,0.817
46,329,114,5,4,0.976
47,339,119,5,4.5,0.994
48,321,110,3,3.5,0.551
49,327,111,4,3,0.345
50,313,98,3,2.5,0.009
51,312,100,2,1.5,0.002
52,334,116,4,4,0.333
53,324,112,4,4,0.111
54,322,110,3,3,0.016
55,320,103,3,3,0.001
56,316,102,3,2,0
57,298,99,2,4,0
58,300,99,1,3,0
59,311,104,2,2,0.002
60,309,100,2,3,0.001
61,307,101,3,4,0.002
62,304,105,2,3,0.006
63,315,107,2,4,0.046
64,325,111,3,3,0.167
65,325,112,4,3.5,0.42
66,327,114,3,3,0.467
67,316,107,2,3.5,0.085
68,318,109,3,3.5,0.617
69,328,115,4,4.5,0.934
70,332,118,5,5,0.997
71,336,112,5,5,0.995
72,321,111,5,5,0.957
73,314,108,4,4.5,0.487
74,314,106,3,3,0.108
75,329,114,2,2,0.429
76,327,112,3,3,0.428
77,301,99,2,3,0
78,296,95,2,3,0
79,294,93,1,1.5,0
80,312,105,3,2,0.007
81,340,120,4,5,0.997
82,320,110,5,5,0.874
83,322,115,5,4,0.967
84,340,115,5,4.5,0.993
85,319,103,4,4.5,0.039
86,315,106,3,4.5,0.019
87,317,107,2,3.5,0.009
88,314,108,3,4.5,0.011
89,316,109,4,4.5,0.317
90,318,106,2,4,0.013
91,299,97,3,5,0
92,298,98,2,4,0
93,301,97,2,3,0
94,303,99,3,2,0
95,304,100,4,1.5,0
96,306,100,2,3,0
97,331,120,3,4,0.944
98,332,119,4,5,0.986
99,323,113,3,4,0.657
100,322,107,3,3.5,0.106
101,312,105,2,2.5,0.002
102,314,106,2,4,0.007
103,317,104,2,4.5,0.014
104,326,112,3,3.5,0.664
105,316,110,3,4,0.376
106,329,111,4,4.5,0.9
107,338,117,4,3.5,0.991
108,331,116,5,5,0.99
109,304,103,5,5,0.026
110,305,108,5,3,0.025
111,321,109,4,4,0.376
112,301,107,3,3.5,0.019
113,320,110,2,4,0.055
114,311,105,3,3.5,0.029
115,310,106,4,4.5,0.376
116,299,102,3,4,0.005
117,290,104,4,2,0
118,296,99,2,3,0
119,327,104,5,3,0.364
120,335,117,5,5,0.996
121,334,119,5,4.5,0.995
122,310,106,4,1.5,0.008
123,308,108,3,3.5,0.009
124,301,106,4,2.5,0.008
125,300,100,3,2,0.008
126,323,113,3,4,0.823
127,319,112,3,2.5,0.207
128,326,112,3,3.5,0.696
129,333,118,5,5,0.993
130,339,114,5,4,0.996
131,303,105,5,5,0.045
132,309,105,5,3.5,0.029
133,323,112,5,4,0.494
134,333,113,5,4,0.963
135,314,109,4,3.5,0.318
136,312,103,3,5,0.012
137,316,100,2,1.5,0.004
138,326,116,2,4.5,0.785
139,318,109,1,3.5,0.127
140,329,110,2,4,0.613
141,332,118,2,4.5,0.959
142,331,115,5,4,0.978
143,340,120,4,4.5,0.999
144,325,112,2,3,0.533
145,320,113,2,2,0.183
146,315,105,3,2,0.009
147,326,114,3,3,0.769
148,339,116,4,4,0.995
149,311,106,2,3.5,0.014
150,334,114,4,4,0.974
151,332,116,5,5,0.987
152,321,112,5,5,0.894
153,324,105,3,3,0.075
154,326,108,3,3,0.172
155,312,109,3,3,0.042
156,315,105,3,2,0.006
157,309,104,2,2,0.002
158,306,106,2,2,0.002
159,297,100,1,1.5,0
160,315,103,1,1.5,0
161,298,99,1,1.5,0
162,318,109,3,3,0.036
163,317,105,3,3.5,0.019
164,329,111,4,4.5,0.814
165,322,110,5,4.5,0.479
166,302,102,3,3.5,0.005
167,313,102,3,2,0.003
168,293,97,2,2,0
169,311,99,2,2.5,0
170,312,101,2,2.5,0.003
171,334,117,5,4,0.976
172,322,110,4,4,0.823
173,323,113,4,4,0.908
174,321,111,4,4,0.681
175,320,111,4,4.5,0.557
176,329,119,4,4.5,0.976
177,319,110,3,3.5,0.241
178,309,108,3,2.5,0.005
179,307,102,3,3,0.002
180,300,104,3,3.5,0.002
181,305,107,2,2.5,0.004
182,299,100,2,3,0
183,314,110,3,4,0.126
184,316,106,2,2.5,0.01
185,327,113,4,4.5,0.905
186,317,107,3,3.5,0.116
187,335,118,5,4.5,0.991
188,331,115,5,4.5,0.974
189,324,112,5,5,0.917
190,324,111,5,4.5,0.876
191,323,110,5,4,0.822
192,322,114,5,4.5,0.853
193,336,118,5,4.5,0.997
194,316,109,3,3.5,0.069
195,307,107,2,3,0.032
196,306,105,2,3,0.002
197,310,106,2,3.5,0.004
198,311,104,3,4.5,0.015
199,313,107,3,4,0.062
200,317,103,3,2.5,0.034
201,315,110,2,3.5,0.069
202,340,120,5,4.5,0.999
203,334,120,5,4,0.999
204,298,105,3,3.5,0.008
205,295,99,2,2.5,0
206,315,99,2,3.5,0
207,310,102,3,3.5,0.006
208,305,106,2,3,0.002
209,301,104,3,3.5,0.007
210,325,108,4,4.5,0.68
211,328,110,4,5,0.838
212,338,120,4,5,0.998
213,333,119,5,5,0.998
214,331,117,4,4.5,0.989
215,330,116,5,5,0.986
216,322,112,4,4.5,0.896
217,321,109,4,4,0.698
218,324,110,4,3,0.609
219,312,104,3,3.5,0.009
220,313,103,3,4,0.028
221,316,110,3,3.5,0.071
222,324,113,4,4.5,0.434
223,308,109,2,3,0.017
224,305,105,2,3,0.001
225,296,99,2,2.5,0
226,306,110,2,3.5,0.019
227,312,110,2,3.5,0.023
228,318,112,3,4,0.134
229,324,111,4,3,0.634
230,313,104,3,4,0.031
231,319,106,3,3.5,0.034
232,312,107,2,2.5,0.007
233,304,100,2,2.5,0.001
234,330,113,5,5,0.963
235,326,111,5,4.5,0.909
236,325,112,4,4,0.885
237,329,114,5,4.5,0.968
238,310,104,3,2,0.006
239,299,100,1,1.5,0
240,296,101,1,2.5,0
241,317,103,2,2.5,0.002
242,324,115,3,3.5,0.568
243,325,114,3,3.5,0.727
244,314,107,2,2.5,0.022
245,328,110,4,4,0.632
246,316,105,3,3,0.035
247,311,104,2,2.5,0.006
248,324,110,3,3.5,0.509
249,321,111,3,3.5,0.478
250,320,104,3,3,0.047
251,316,99,2,2.5,0.013
252,318,100,2,2.5,0.017
253,335,115,4,4.5,0.993
254,321,114,4,4,0.749
255,307,110,4,4,0.043
256,309,99,3,4,0.006
257,324,100,3,4,0.104
258,326,102,4,5,0.313
259,331,119,4,5,0.988
260,327,108,5,5,0.788
261,312,104,3,3.5,0.004
262,308,103,2,2.5,0.012
263,324,111,3,2.5,0.235
264,325,110,2,3,0.215
265,313,102,3,2.5,0.009
266,312,105,2,2,0.005
267,314,107,3,3,0.027
268,327,113,4,4.5,0.805
269,308,108,4,4.5,0.037
270,306,105,2,2.5,0.007
271,299,96,2,1.5,0
272,294,95,1,1.5,0
273,312,99,1,1,0
274,315,100,1,2,0
275,322,110,3,3.5,0.436
276,329,113,5,5,0.979
277,320,101,2,2.5,0.008
278,308,103,2,3,0.005
279,304,102,2,3,0.007
280,311,102,3,4.5,0.047
281,317,110,3,4,0.633
282,312,106,3,4,0.122
283,321,111,3,2.5,0.399
284,340,112,4,5,0.99
285,331,116,5,4,0.975
286,336,118,5,4.5,0.986
287,324,114,5,5,0.93
288,314,104,4,5,0.173
289,313,109,3,4,0.139
290,307,105,2,2.5,0
291,300,102,2,1.5,0
292,302,99,2,1,0
293,312,98,1,3.5,0.002
294,316,101,2,2.5,0.005
295,317,100,2,3,0.004
296,310,107,3,3.5,0.03
297,320,120,3,4,0.832
298,330,114,3,4.5,0.935
299,305,112,3,3,0.051
300,309,106,2,2.5,0.001
301,319,108,2,2.5,0.044
302,322,105,2,3,0.039
303,323,107,3,3.5,0.142
304,313,106,2,2.5,0.005
305,321,109,3,3.5,0.312
306,323,110,3,4,0.621
307,325,112,4,4,0.789
308,312,108,3,3.5,0.023
309,308,110,4,3.5,0.045
310,320,104,3,3,0.111
311,328,108,4,4.5,0.789
312,311,107,4,4.5,0.411
313,301,100,3,3.5,0.001
314,305,105,2,3,0.002
315,308,104,2,2.5,0.001
316,298,101,2,1.5,0
317,300,99,1,1,0
318,324,111,3,2.5,0.282
319,327,113,4,3.5,0.561
320,317,106,3,4,0.076
321,323,104,3,4,0.079
322,314,107,2,2.5,0.009
323,305,102,2,2,0.001
324,315,104,3,3,0.005
325,326,116,3,3.5,0.898
326,299,100,3,2,0
327,295,101,2,2.5,0
328,324,112,4,4,0.586
329,297,96,2,2.5,0
330,327,113,3,3.5,0.445
331,311,105,2,3,0.005
332,308,106,3,3.5,0.011
333,319,108,3,3,0.124
334,312,107,4,4.5,0.175
335,325,111,4,4,0.841
336,319,110,3,3,0.085
337,332,118,5,5,0.995
338,323,108,5,4,0.496
339,324,107,5,3.5,0.393
340,312,107,3,3,0.044
341,326,110,3,3.5,0.409
342,308,106,3,3,0.005
343,305,103,2,2.5,0.001
344,295,96,2,1.5,0
345,316,98,1,1.5,0
346,304,97,2,1.5,0
347,299,94,1,1,0
348,302,99,1,2,0
349,313,101,3,2.5,0.001
350,318,107,3,3,0.046
351,325,110,4,3.5,0.471
352,303,100,2,3,0.002
353,300,102,3,3.5,0.001
354,297,98,2,2.5,0
355,317,106,2,2,0.005
356,327,109,3,3.5,0.436
357,301,104,2,3.5,0.002
358,314,105,2,2.5,0
359,321,107,2,2,0.008
360,322,110,3,4,0.424
361,334,116,4,4,0.984
362,338,115,5,4.5,0.987
363,306,103,2,2.5,0.002
364,313,102,3,3.5,0.099
365,330,114,4,4.5,0.899
366,320,104,3,3.5,0.057
367,311,98,1,1,0
368,298,92,1,2,0
369,301,98,1,2,0
370,310,103,2,2.5,0.002
371,324,110,3,3.5,0.658
372,336,119,4,4.5,0.995
373,321,109,3,3,0.138
374,315,105,2,2,0.001
375,304,101,2,2,0
376,297,96,2,2.5,0
377,290,100,1,1.5,0
378,303,98,1,2,0
379,311,99,1,2.5,0.004
380,322,104,3,3.5,0.201
381,319,105,3,3,0.103
382,324,110,4,4.5,0.795
383,300,100,3,3,0.001
384,340,113,4,5,0.995
385,335,117,5,5,0.998
386,302,101,2,2.5,0
387,307,105,2,2,0.002
388,296,97,2,1.5,0
389,320,108,3,3.5,0.128
390,314,102,2,2,0.002
391,318,106,3,2,0.028
392,326,112,4,4,0.822
393,317,104,2,3,0.019
394,329,111,4,4.5,0.894
395,324,110,3,3.5,0.582
396,325,107,3,3,0.49
397,330,116,4,5,0.984
398,312,103,3,3.5,0.027
399,333,117,4,5,0.993
400,304,100,2,3.5,0.001
401,315,105,2,3,0.006
402,324,109,3,3.5,0.406
403,330,116,4,4,0.949
404,311,101,3,2,0.001
405,302,99,3,2.5,0
406,322,103,4,3,0.013
407,298,100,3,2.5,0.001
408,297,101,3,2,0.001
409,300,98,1,2,0
410,301,96,1,3,0
411,313,94,2,2.5,0
412,314,102,4,2.5,0.003
413,317,101,3,3,0.003
414,321,110,4,3.5,0.207
415,327,106,4,4,0.432
416,315,104,3,4,0.003
417,316,103,3,3.5,0.001
418,309,111,2,2.5,0.007
419,308,102,2,2,0.002
420,299,100,3,2,0
421,321,112,3,3,0.653
422,322,112,4,3.5,0.618
423,334,119,5,4.5,0.997
424,325,114,5,4,0.98
425,323,111,5,4,0.987
426,312,106,3,3,0.038
427,310,101,3,3.5,0.051
428,316,103,2,2,0.023
429,340,115,5,5,0.978
430,311,104,3,4,0.012
431,320,112,2,3.5,0.333
432,324,112,4,4.5,0.877
433,316,111,4,4,0.172
434,306,103,3,3.5,0.002
435,309,105,2,2.5,0.001
436,310,110,1,1.5,0.001
437,317,106,1,1.5,0.002
438,318,110,1,2.5,0.081
439,312,105,2,1.5,0.006
440,305,104,2,2.5,0
441,332,112,1,1.5,0.262
442,331,116,4,4.5,0.984
443,321,114,5,4.5,0.929
444,324,113,5,4,0.953
445,328,116,5,4.5,0.968
446,327,118,4,5,0.994
447,320,108,3,3.5,0.524
448,312,109,2,2.5,0.105
449,315,101,3,3.5,0.075
450,320,112,4,3,0.662
451,324,113,4,4.5,0.922
452,328,116,4,5,0.982
453,319,103,3,2.5,0.107
454,310,105,2,3,0.002
455,305,102,2,1.5,0
456,299,100,2,2,0
457,295,99,1,2,0
458,312,100,1,3,0.007
459,329,113,4,4,0.934
460,319,105,4,4,0.217
461,301,102,3,2.5,0.002
462,307,105,4,3,0.002
463,304,107,3,3.5,0.001
464,298,97,2,2,0
465,305,96,4,3,0.002
466,314,99,4,3.5,0.066
467,318,101,5,3.5,0.223
468,323,110,4,4,0.702
469,326,114,4,4,0.886
470,320,110,5,4,0.854
471,311,103,3,2,0.003
472,327,116,4,4,0.98
473,316,102,2,4,0.003
474,308,105,4,3,0.006
475,300,101,3,3.5,0
476,304,104,3,2.5,0.001
477,309,105,4,3.5,0.003
478,318,103,3,4,0.067
479,325,110,4,4.5,0.701
480,321,102,3,3.5,0.208
481,323,107,4,3,0.108
482,328,113,4,4,0.596
483,304,103,5,5,0.002
484,317,106,3,3.5,0.01
485,311,101,2,2.5,0.007
486,319,102,3,2.5,0.005
487,327,115,4,3.5,0.782
488,322,112,3,3,0.378
489,302,110,3,4,0.031
490,307,105,2,2.5,0.01
491,297,99,4,3,0
492,298,101,4,2.5,0.001
493,300,95,2,3,0
494,301,99,3,2.5,0.003
495,332,108,5,4.5,0.815
496,337,117,5,5,0.999
497,330,120,5,4.5,0.997
498,312,103,4,4,0.023
499,327,113,4,4.5,0.711